Saved Date,Job Url,Job Title,Company Name
"4/3/26, 6:02 AM",http://www.linkedin.com/jobs/view/4386686497,Orta Seviye Full-Stack Yazılım Geliştirici,Aselsan
"3/14/26, 6:04 PM",http://www.linkedin.com/jobs/view/4364788282,Backend Developer,Scorp
"5/4/26, 1:28 AM",http://www.linkedin.com/jobs/view/4400583309,Full Stack Developer,Magna International
"8/24/23, 8:49 AM",http://www.linkedin.com/jobs/view/3697130295,Senior Frontend Developer,Missafir
"4/3/26, 6:04 AM",http://www.linkedin.com/jobs/view/4391866155,"Team Lead, Engineering",Deel
"4/4/26, 7:27 AM",http://www.linkedin.com/jobs/view/4374085828,AI Integration & Deployment Engineer,Siemens
"3/24/26, 4:12 AM",http://www.linkedin.com/jobs/view/4388795814,Senior Backend Engineer - C# and data streaming tools,Shift Technology
"3/21/26, 1:14 AM",http://www.linkedin.com/jobs/view/4380678493,Backend Developer,Trendyol Group
"3/14/26, 6:11 PM",http://www.linkedin.com/jobs/view/4382476018,"Staff Software Architect, LearnWith.AI (Remote) - $200,000/year USD",Crossover
"5/3/26, 5:37 AM",http://www.linkedin.com/jobs/view/4403735515,Principal .NET Software Engineer,EPAM Systems
"3/14/26, 6:01 PM",http://www.linkedin.com/jobs/view/4379353320,Yazılım Geliştirme Yönetici Yardımcısı/Yöneticisi,Gizlii
"3/14/26, 6:06 PM",http://www.linkedin.com/jobs/view/4371441081,Fullstack Developer (Hybrid),Amaris Consulting
"4/3/26, 1:42 PM",http://www.linkedin.com/jobs/view/4395658640,Senior .NET Developer,Freedx
"3/14/26, 6:11 PM",http://www.linkedin.com/jobs/view/4342973982,Team Lead,Logiwa
"5/3/26, 5:35 AM",http://www.linkedin.com/jobs/view/4409087675,C#/.NET Software Engineer (Remote),Sourced
"4/28/26, 2:07 PM",http://www.linkedin.com/jobs/view/4405541683,Principle Agentic AI Engineer,ING Hubs Türkiye
